,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Unnamed: 64
36583,Belgium,BEL,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,,11.9597396850586,12.0059700012207,11.8805503845215,12.0740299224854,12.1092100143433,,,12.5876398086548,12.6574201583862,12.7213697433472,12.7873401641846,12.9480304718018,12.8955001831055,13.0571804046631,13.2914199829102,13.4434995651245,13.6478204727173,13.8363704681396,13.9430103302002,14.1026096343994,14.1665096282959,,16.7518291473389,17.0844707489014,17.5516605377197,17.9563407897949,,,18.1912994384766,18.49725,19.04436,19.14082,19.24775,19.03843,19.53808,19.80892,19.88885,19.96738,19.9979,20.03265,20.08858,20.19393,20.419,20.69155,20.76375,20.62255,20.72962,,,
36584,Belgium,BEL,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,,12.5865097045898,12.6455297470093,12.3202199935913,12.5508403778076,12.4991798400879,,,12.8520002365112,12.9201498031616,12.9016799926758,12.8419399261475,13.0377798080444,12.8374300003052,13.0319404602051,13.2930202484131,13.4899597167969,13.6027297973633,13.7727699279785,13.9313898086548,13.963529586792,13.9821300506592,,16.3433494567871,16.6272602081299,16.9841403961182,17.242769241333,,,17.2975196838379,17.37361,17.74691,17.7446,18.00021,17.71479,17.92184,18.10827,18.08199,18.04924,18.0601,18.14379,18.19688,18.28528,18.42923,18.72212,18.77927,18.79297,18.83843,,,
37153,Belize,BLZ,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.98028,,12.76512,12.94112,12.38011,13.08242,13.11594,13.01136,12.72289,12.70748,12.80314,13.18547,12.99595,13.00193,12.96565,13.62412,13.37546,,,
37154,Belize,BLZ,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.75021,,12.32586,12.75084,12.22809,12.55692,12.42117,12.40253,12.15694,12.15327,12.19976,12.61557,12.52003,12.48154,12.61708,13.23818,12.84743,,,
37723,Benin,BEN,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,,1.46873998641968,,1.84044003486633,1.79412996768951,2.08651995658875,,,,,,,,,,3.45040011405945,3.2734899520874,3.18037009239197,,,,,,,,,,,,4.80957984924316,5.08576,5.65194,6.09434,6.45025,6.86919,,,,,,,9.8372,,10.97315,11.06708,11.41249,11.44209,,,,
37724,Benin,BEN,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,,3.32325005531311,,4.0833101272583,4.04402017593384,4.69018983840942,,,,,,,,,,7.3533501625061,6.96992015838623,6.68933010101318,,,,,,,,,,,,8.08938980102539,8.3523,9.11426,9.64019,10.09208,10.45291,,,,,,,13.00545,,14.11832,14.04267,14.17256,13.7636,,,,
38293,Bermuda,BMU,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,,,,,,,,,,11.414719581604,11.7671298980713,,,,,,,,,,,,,,,,,,,,,,,,,,13.56771,,,,,13.83633,13.62453,13.64014,13.32488,13.45887,,,,,
38294,Bermuda,BMU,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,,,,,,,,,,11.5649499893188,12.0609102249146,,,,,,,,,,,,,,,,,,,,,,,,,,11.57082,,,,,11.98632,11.97067,11.80778,11.97305,11.97481,,,,,
38863,Bhutan,BTN,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,,,,,,,,,,,,,,2.44080996513367,,,,,,,,,,,,,,,,6.40404987335205,,,,,,9.0863,9.59993,10.0509,10.53032,11.23658,11.75858,12.26175,12.68077,12.66724,,,,,13.46645,,
38864,Bhutan,BTN,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,,,,,,,,,,,,,,5.53899002075195,,,,,,,,,,,,,,,,7.77865982055664,,,,,,9.6177,10.03429,10.38491,10.71095,11.1546,11.59508,12.03673,12.4111,12.34021,,,,,12.75028,,
39433,Bolivia,BOL,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39434,Bolivia,BOL,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40003,Bosnia and Herzegovina,BIH,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40004,Bosnia and Herzegovina,BIH,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40573,Botswana,BWA,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,5.52061986923218,5.15693998336792,5.23084020614624,6.05499982833862,6.39874982833862,6.95227003097534,7.27395009994507,7.66158008575439,7.80244016647339,8.04998016357422,8.40974044799805,8.44102954864502,,8.74277019500732,9.09943962097168,9.48902034759521,,9.68268966674805,,,,11.1179103851318,,11.0861396789551,10.9735097885132,11.4419498443604,,,12.1112804412842,12.4337301254272,12.61569,12.67022,12.45201,12.52203,12.4633,12.44385,12.58544,,,,,,,,,,,,,,
40574,Botswana,BWA,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,5.1429500579834,4.75247001647949,4.75396013259888,5.34945011138916,5.49677991867065,5.87431001663208,6.11937999725342,6.43953990936279,6.6481499671936,6.85835981369019,7.24557018280029,7.37013006210327,,7.74506998062134,8.26529026031494,8.67652988433838,,9.26632022857666,,,,10.5985498428345,,10.7765502929688,10.8258495330811,11.2691202163696,,,11.9702196121216,12.4446697235107,12.57308,12.62248,12.42091,12.48145,12.50738,12.51664,12.65314,,,,,,,,,,,,,,
41143,Brazil,BRA,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.94788,14.37978,14.14474,14.08432,,13.70237,14.19614,14.23065,,14.30491,14.28965,15.64122,15.82467,15.65876,15.79336,15.76622,,,
41144,Brazil,BRA,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.58179,13.62915,13.55036,13.4658,,12.9446,13.41579,13.34042,,13.56041,13.4545,14.77581,14.84498,14.9012,14.9604,15.06124,,,
41713,British Virgin Islands,VGB,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0596694946289,16.79434,15.52795,15.96871,,18.59433,,,,,17.61588,,,,,,15.72157,15.90763,,,,
41714,British Virgin Islands,VGB,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1287202835083,14.03619,13.91064,14.25704,,15.96926,,,,,15.75886,,,,,,14.71039,14.89848,,,,
42283,Brunei Darussalam,BRN,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,,,,,,,,11.7939395904541,,11.0426998138428,,,,11.2624597549438,11.4300699234009,,,,,,,,12.3927097320557,12.6428699493408,12.6927604675293,,,,12.9832897186279,13.2938899993896,13.24256,13.12501,13.22422,13.59617,13.95283,14.15997,14.23098,14.147,14.15638,14.32803,14.34762,14.6028,15.31475,15.44805,15.38594,15.10628,15.08296,14.97115,14.78208,,
42284,Brunei Darussalam,BRN,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,,,,,,,,11.9298496246338,,10.9679803848267,,,,11.1606998443604,11.2984895706177,,,,,,,,12.1337003707886,12.3295803070068,12.5128402709961,,,,12.8091802597046,13.1098899841309,13.1038,13.08984,13.20984,13.44687,13.82716,14.03998,14.05951,13.91923,13.78042,13.92265,13.83148,14.11684,14.55026,14.46526,14.40965,14.19292,14.14822,14.01047,13.88855,,
42853,Bulgaria,BGR,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,,11.1821899414063,11.3130397796631,11.4239902496338,11.5285501480103,11.597020149231,11.3261098861694,11.7115201950073,11.8950796127319,11.403039932251,11.247670173645,11.2277698516846,11.3432502746582,11.4184799194336,11.5506401062012,11.7228097915649,12.1270704269409,12.3615598678589,12.5034399032593,12.5346403121948,12.0595102310181,12.175950050354,12.0752801895142,12.098030090332,12.1307401657104,12.5455703735352,13.0590295791626,13.190710067749,13.2174301147461,13.2988500595093,13.16105,13.10084,12.93327,13.28022,13.41217,13.50615,13.70967,14.10728,14.3299,14.46628,14.71095,14.73985,14.77035,15.12376,15.32503,15.21027,14.87127,,,,
42854,Bulgaria,BGR,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,,11.2784700393677,11.2690200805664,11.3222398757935,11.3489503860474,11.3008499145508,11.1706895828247,11.3892297744751,11.4366903305054,11.2242002487183,11.1196298599243,11.0581703186035,11.2262401580811,11.3338098526001,11.436429977417,11.6051797866821,11.9673299789429,12.1725997924805,12.2718896865845,12.3878803253174,11.9640798568726,12.0883903503418,11.8628902435303,11.6518402099609,11.4936895370483,11.7605104446411,12.1141395568848,12.2297601699829,12.375880241394,12.5311899185181,12.63478,12.69355,12.71759,13.15328,13.40482,13.50331,13.53533,13.86365,13.82736,13.89075,14.15768,14.25624,14.29563,14.70573,14.86314,14.69953,14.43285,,,,
43423,Burkina Faso,BFA,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,,0.592859983444214,0.624549984931946,0.648090004920959,0.684140026569366,0.719380021095276,0.740890026092529,0.764429986476898,,0.843620002269745,0.917949974536896,0.966099977493286,1.05921995639801,1.14362001419067,1.22115004062653,1.35283994674683,1.49286997318268,,,,,,,,2.21904993057251,,,,,2.76291990280151,,,,3.27255,,4.01229,4.29469,4.75217,5.27791,5.70812,6.16917,6.62823,7.01074,7.34203,7.54933,7.97948,8.27663,8.69515,9.10409,,
43424,Burkina Faso,BFA,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,,1.05271995067596,1.08807003498077,1.11329996585846,1.16887998580933,1.21657001972198,1.269700050354,1.33817005157471,,1.45316004753113,1.5376900434494,1.65582001209259,1.80620002746582,1.97069001197815,2.09747004508972,2.31745004653931,2.57751989364624,,,,,,,,3.54122996330261,,,,,4.0971097946167,,,,4.5372,,5.27901,5.55174,6.01519,6.43606,6.8509,7.2364,7.68352,7.9223,8.09972,8.1758,8.53102,8.76838,9.11401,9.44096,,
43993,Burundi,BDI,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,,1.32625997066498,1.31305003166199,1.06140005588531,1.02298998832703,1.06133997440338,1.0890200138092,,,1.22107005119324,1.33586001396179,1.4644900560379,1.66290998458862,,2.28733992576599,2.58178997039795,2.86718010902405,3.32522988319397,3.87397003173828,3.8897500038147,3.96046996116638,4.166259765625,3.9625198841095,4.18856000900269,,,,,,,,,,,5.07648,5.43937,6.9006,,,,9.8341,10.35168,10.55647,10.83007,11.19223,,11.53287,11.03825,,,
43994,Burundi,BDI,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,,2.8408899307251,2.73522996902466,2.00340008735657,1.81670999526978,1.86087000370026,1.85654997825623,,,1.99434995651245,2.1906099319458,2.38717007637024,2.76854991912842,,3.65652990341187,3.985680103302,4.29399013519287,4.7604398727417,5.24283981323242,5.04747009277344,5.07945013046265,5.18080997467041,5.03416013717651,5.3969898223877,,,,,,,,,,,6.40439,6.67632,7.97956,,,,10.66302,11.04695,11.17824,11.37406,11.62708,,11.72181,11.10496,,,
44563,Cabo Verde,CPV,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.33,11.61557,11.62817,11.54267,11.72419,12.66339,12.70696,12.76487,12.95575,13.16201,13.38412,13.40913,13.9014,13.81204,13.4582,13.36594,13.27068,,,
44564,Cabo Verde,CPV,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.20095,11.57357,11.42328,11.28696,11.42125,11.98855,11.98869,12.38536,12.26698,12.43955,12.65993,12.6672,13.07703,13.01649,12.83912,12.74123,12.65316,,,
45133,Cambodia,KHM,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.80141,7.45863,8.4954,,9.24135,,9.68751,9.8628,9.913,,,,,,,,,,,,
